,links,names,Views,likes,age
46,https://www.youtube.com/watch?v=mUQZ1qmKlLY,"

C++ Tutorial From Basic to Advance
","3,127,742 views",69K,
47,https://www.youtube.com/watch?v=z9bZufPHFLU,"

1. Introduction to C++ | Data Structures and Algorithms | College Placement Course | Lecture 1
","2,986,737 views",90K,
48,https://www.youtube.com/watch?v=pTB0EiLXUC8,"

Object-oriented Programming in 7 minutes | Mosh
","2,246,677 views",59K,
49,https://www.youtube.com/watch?v=E_-lMZDi7Uw,"

C++ Tutorial 18 - Simple Snake Game (Part 1)
","1,784,873 views",18K,
50,https://www.youtube.com/watch?v=ABRP_5RYhqU,"

Buckys C++ Programming Tutorials - 12 - Introduction to Classes and Objects
","1,602,714 views",17K,
51,https://www.youtube.com/watch?v=_bYFu9mBnr4,"

C++ Programming All-in-One Tutorial Series (10 HOURS!)
","1,524,906 views",40K,
52,https://www.youtube.com/watch?v=SWZfFNyUsxc,"

Buckys C++ Programming Tutorials - 2 - Understanding a Simple C++ Program
","1,524,022 views",12K,
53,https://www.youtube.com/watch?v=Iuo9PpGE04Y,"

Lecture 1 Introduction to C++ Part 1 hindi
","1,431,337 views",11K,
54,https://www.youtube.com/watch?v=yGB9jhsEsr8,"

C++ Tutorial For Beginners: Learn C Plus Plus In Hindi
","1,342,492 views",58K,
55,https://www.youtube.com/watch?v=j8nAHeVKL08,"

Introduction to C++, Installing VS Code, g++ & more | C++ Tutorials for Beginners #1
","1,326,076 views",40K,
56,https://www.youtube.com/watch?v=8PopR3x-VMY,"

C Programming For Beginners | Learn C Programming | C Tutorial For Beginners | Edureka
","1,316,235 views",23K,
57,https://www.youtube.com/watch?v=77v-Poud_io,"

How to Set up Visual Studio Code for C and C++ Programming
","1,276,232 views",20K,
58,https://www.youtube.com/watch?v=2FYm3GOonhk,"

LEARN OPENCV C++ in 4 HOURS | Including 3x Projects | Computer Vision
","1,244,679 views",9K,
59,https://www.youtube.com/watch?v=emhlJVlzZ0E,"

Basic Structure of C++ Program (HINDI)
","1,240,863 views",14K,
60,https://www.youtube.com/watch?v=PkZNo7MFNFg,"

Learn JavaScript - Full Course for Beginners
","7,272,977 views",144K,
61,https://www.youtube.com/watch?v=W6NZfCO5SIk,"

JavaScript Tutorial for Beginners: Learn JavaScript in 1 Hour
","5,663,624 views",101K,
62,https://www.youtube.com/watch?v=eIrMbAQSU34,"

Java Tutorial for Beginners [2020]
","5,259,384 views",142K,
63,https://www.youtube.com/watch?v=pQN-pnXPaVg,"

HTML Full Course - Build a Website Tutorial
","4,203,794 views",110K,
64,https://www.youtube.com/watch?v=Ke90Tje7VS0,"

React JS - React Tutorial for Beginners
","3,990,029 views",64K,
65,https://www.youtube.com/watch?v=TlB_eWDSMt4,"

Node.js Tutorial for Beginners: Learn Node in 1 Hour
","3,629,174 views",60K,
66,https://www.youtube.com/watch?v=Q33KBiDriJY,"

Web Development Full Course - 10 Hours | Learn Web Development from Scratch | Edureka
","3,501,990 views",88K,
67,https://www.youtube.com/watch?v=RBSGKlAvoiM,"

Data Structures Easy to Advanced Course - Full Tutorial from a Google Engineer
","3,448,481 views",82K,
68,https://www.youtube.com/watch?v=mU6anWqZJcc,"

Learn HTML5 and CSS3 From Scratch - Full Course
","3,167,345 views",73K,
69,https://www.youtube.com/watch?v=k5E2AVpwsko,"

Angular Tutorial for Beginners: Learn Angular & TypeScript
","2,734,329 views",41K,
70,https://www.youtube.com/watch?v=DLX62G4lc44,"

Learn React JS - Full Course for Beginners - Tutorial 2019
","2,718,359 views",41K,
71,https://www.youtube.com/watch?v=Ukg_U3CnJWI,"

Learn JavaScript in 12 Minutes
","2,610,466 views",55K,
72,https://www.youtube.com/watch?v=OK_JCtrrv-c,"

PHP Programming Language Tutorial - Full Course
","2,414,386 views",44K,
73,https://www.youtube.com/watch?v=e-5obm1G_FY,"

Learning Functional Programming with JavaScript - Anjana Vakil - JSUnconf
","2,398,637 views",51K,
74,https://www.youtube.com/watch?v=pTB0EiLXUC8,"

Object-oriented Programming in 7 minutes | Mosh
","2,246,677 views",59K,
75,https://www.youtube.com/watch?v=aKYlikFAV4k,"

Coding Challenge 51.1: A* Pathfinding Algorithm - Part 1
","2,229,513 views",15K,
76,https://www.youtube.com/watch?v=hdI2bqOjy3c,"

JavaScript Crash Course For Beginners
","2,128,292 views",42K,
77,https://www.youtube.com/watch?v=GZvSYJDk-us,"

APIs for Beginners - How to use an API (Full Course / Tutorial)
","2,123,400 views",57K,
78,https://www.youtube.com/watch?v=Qqx_wzMmFeA,"

JavaScript Tutorial for Beginners - Full Course in 8 Hours [2020]
","2,116,469 views",68K,
79,https://www.youtube.com/watch?v=HXV3zeQKqGY,"

SQL Tutorial - Full Database Course for Beginners
","8,277,128 views",163K,
