,links,names,views,age
0,https://www.youtube.com/watch?v=Umm1ZQ5ltZw,"

C++ Tutorial for Beginners - Full Course
",1 year ago,885K views
1,https://www.youtube.com/watch?v=vLnPwxZdW4Y,"

C++ Tutorial For Beginners: Learn C Plus Plus In Hindi
",3 years ago,7M views
2,https://www.youtube.com/watch?v=yGB9jhsEsr8,"

C++ Tutorial in Hindi Full Course | C++ Tutorial for Beginners in 2021 | Learn C++ | Great Learning
",2 years ago,1.3M views
3,https://www.youtube.com/watch?v=KC47C8sg2zQ,"

C++ Tutorial for Beginners | Learn C++ Programming Language | Introduction to C++ | Edureka
",6 months ago,117K views
4,https://www.youtube.com/watch?v=BClS40yzssA,"

C++ FULL COURSE For Beginners (Learn C++ in 10 hours)
",1 year ago,313K views
5,https://www.youtube.com/watch?v=GQp1zzTwrIg,"

C++ Programming All-in-One Tutorial Series (10 HOURS!)
",8 months ago,1M views
6,https://www.youtube.com/watch?v=_bYFu9mBnr4,"

C Language Tutorial For Beginners In Hindi (With Notes) 🔥
",2 years ago,1.5M views
7,https://www.youtube.com/watch?v=ZSPZob_1TOk,"

C++ Tutorial From Basic to Advance
",1 year ago,6.4M views
